"Time","run_number","fill","last_lumi","last_era","last_delay_h","last_global","last_globaltag","last_endtime","last_re-tracking-efficiency-analysis-harvester","last_re-tracking-efficiency-analysis-worker","last_re-tracking-efficiency-analysis-worker-with-reco","last_re-tracking-efficiency-reference-harvester","last_re-tracking-efficiency-reference-worker","last_tracking-efficiency","last_tracking-efficiency-alcareco","last_tracking-efficiency-analysis-harvester","last_tracking-efficiency-analysis-worker","last_tracking-efficiency-reference-harvester","last_tracking-efficiency-reference-worker","last_re-alcareco","last_plotters","first_delay_h"
2019-01-21 16:46:14.577,366727,8675,16.7,Run2023B,6177,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-27T23:49:13Z,done,,done,done,done,,,,,,,,,6165
2019-01-21 16:46:14.577,366729,8675,29.4,Run2023B,6174,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-28T03:11:03Z,done,,done,done,done,,,,,,,,,6162
2019-01-21 16:46:14.577,366801,8685,25.7,Run2023B,6138,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-29T14:36:03Z,done,,done,done,done,,,,,,,,,6126
2019-01-21 16:46:14.577,366802,8685,1.14,Run2023B,6138,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-29T14:46:58Z,done,,done,done,done,,,,,,,,,6126
2019-01-21 16:46:14.577,366804,8685,7.61,Run2023B,6276,processing,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-29T15:53:47Z,new,,failed,new,new,,,,,,,,,6125
2019-01-21 16:46:14.577,366820,8686,24.3,Run2023B,6272,processing,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-29T20:41:31Z,new,,failed,new,new,,,,,,,,,6120
2019-01-21 16:46:14.577,366821,8686,57.3,Run2023B,6126,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-30T03:04:48Z,done,,done,done,done,,,,,,,,,6114
2019-01-21 16:46:14.577,366829,8690,13.1,Run2023B,6119,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-30T10:19:34Z,done,,done,done,done,,,,,,,,,6107
2019-01-21 16:46:14.577,366832,8690,19.8,Run2023B,6117,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-30T12:07:15Z,done,,done,done,done,,,,,,,,,6105
2019-01-21 16:46:14.577,366833,8690,35.1,Run2023B,6113,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-30T16:20:21Z,done,,done,done,done,,,,,,,,,6101
2019-01-21 16:46:14.577,366838,8691,7.29,Run2023B,6110,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-30T19:08:27Z,done,,done,done,done,,,,,,,,,6098
2019-01-21 16:46:14.577,366840,8691,13.8,Run2023B,6109,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-30T20:27:38Z,done,,done,done,done,,,,,,,,,6097
2019-01-21 16:46:14.577,366841,8691,18.2,Run2023B,6107,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-04-30T22:15:00Z,done,,done,done,done,,,,,,,,,6095
2019-01-21 16:46:14.577,366850,8692,10.1,Run2023B,6103,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-01T02:02:25Z,done,,done,done,done,,,,,,,,,6091
2019-01-21 16:46:14.577,366933,8701,207,Run2023B,6048,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-03T08:46:34Z,done,,done,done,done,,,,,,,,,6024
2019-01-21 16:46:14.577,367062,8723,1.34,Run2023B,6129,processing,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-05T11:47:58Z,done,,done,new,failed,,,,,,,,,5985
2019-01-21 16:46:14.577,367063,8723,0.656,Run2023B,5997,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-05T11:56:08Z,done,,done,done,done,,,,,,,,,5985
2019-01-21 16:46:14.577,367064,8723,34.1,Run2023B,6134,processing,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-05T15:07:02Z,new,,failed,new,new,,,,,,,,,5982
2019-01-21 16:46:14.577,367065,8723,18.1,Run2023B,6132,processing,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-05T16:54:22Z,new,,failed,new,new,,,,,,,,,5980
2019-01-21 16:46:14.577,367070,8724,54.7,Run2023B,6126,processing,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-05T23:22:50Z,new,,failed,new,new,,,,,,,,,5974
2019-01-21 16:46:14.577,367079,8725,125,Run2023B,5976,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-06T08:36:08Z,done,,done,done,done,,,,,,,,,5964
2019-01-21 16:46:14.577,367095,8728,113,Run2023C,6187,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-06T15:13:17Z,done,,done,done,done,,,,,,,,,5978
2019-01-21 16:46:14.577,367100,8729,68.5,Run2023C,6182,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-06T20:23:22Z,done,,done,done,done,,,,,,,,,5973
2019-01-21 16:46:14.577,367102,8729,15.6,Run2023C,6181,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-06T20:57:32Z,done,,done,done,done,,,,,,,,,5972
2019-01-21 16:46:14.577,367103,8729,13.3,Run2023C,6180,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-06T21:27:01Z,done,,done,done,done,,,,,,,,,5972
2019-01-21 16:46:14.577,367104,8729,188,Run2023C,6173,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-07T04:37:48Z,done,,done,done,done,,,,,,,,,5964
2019-01-21 16:46:14.577,367111,8730,55.2,Run2023C,6169,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-07T09:15:48Z,done,,done,done,done,,,,,,,,,5960
2019-01-21 16:46:14.577,367112,8730,251,Run2023C,6159,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-07T18:47:49Z,done,,done,done,done,,,,,,,,,5950
2019-01-21 16:46:14.577,367127,8731,96.2,Run2023C,6155,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-07T22:51:49Z,done,,done,done,done,,,,,,,,,5946
2019-01-21 16:46:14.577,367128,8731,3.47,Run2023C,6155,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-07T23:00:03Z,done,,done,done,done,,,,,,,,,5946
2019-01-21 16:46:14.577,367129,8731,1.11,Run2023C,6155,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-07T23:03:47Z,done,,done,done,done,,,,,,,,,5946
2019-01-21 16:46:14.577,367130,8731,44.6,Run2023C,6154,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-08T00:10:29Z,done,,done,done,done,,,,,,,,,5945
2019-01-21 16:46:14.577,367131,8731,38.6,Run2023C,6153,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-08T01:10:04Z,done,,done,done,done,,,,,,,,,5944
2019-01-21 16:46:14.577,367133,8731,81.4,Run2023C,6151,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-08T03:21:39Z,done,,done,done,done,,,,,,,,,5942
2019-01-21 16:46:14.577,367228,8736,60.3,Run2023C,6131,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-08T23:23:48Z,done,,done,done,done,,,,,,,,,5922
2019-01-21 16:46:14.577,367229,8736,13.5,Run2023C,6130,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-08T23:42:57Z,done,,done,done,done,,,,,,,,,5921
2019-01-21 16:46:14.577,367230,8736,0.402,Run2023C,6130,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-08T23:46:12Z,done,,done,done,done,,,,,,,,,5921
2019-01-21 16:46:14.577,367232,8736,316,Run2023C,6123,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-09T06:26:20Z,done,,done,done,done,,,,,,,,,5915
2019-01-21 16:46:14.577,367234,8736,143,Run2023C,6120,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-09T10:16:17Z,done,,done,done,done,,,,,,,,,5911
2019-01-21 16:46:14.577,367260,8738,53.3,Run2023C,6113,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-09T17:24:17Z,done,,done,done,done,,,,,,,,,5904
2019-01-21 16:46:14.577,367262,8738,87.6,Run2023C,6111,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-09T19:17:32Z,done,,done,done,done,,,,,,,,,5902
2019-01-21 16:46:14.577,367263,8738,4.32,Run2023C,6110,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-09T19:28:17Z,done,,done,done,done,,,,,,,,,5901
2019-01-21 16:46:14.577,367264,8738,223,Run2023C,6105,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-10T01:04:32Z,done,,done,done,done,,,,,,,,,5896
2019-01-21 16:46:14.577,367267,8739,64.3,Run2023C,6100,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-10T05:25:17Z,done,,done,done,done,,,,,,,,,5892
2019-01-21 16:46:14.577,367269,8739,9.69,Run2023C,6100,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-10T05:45:58Z,done,,done,done,done,,,,,,,,,5891
2019-01-21 16:46:14.577,367270,8739,278,Run2023C,6094,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-10T12:02:18Z,done,,done,done,done,,,,,,,,,5885
2019-01-21 16:46:14.577,367271,8739,30.6,Run2023C,6093,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-10T13:06:28Z,done,,done,done,done,,,,,,,,,5884
2019-01-21 16:46:14.577,367312,8741,44.9,Run2023C,6085,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-10T20:48:04Z,done,,done,done,done,,,,,,,,,5876
2019-01-21 16:46:14.577,367314,8741,9.11,Run2023C,6085,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-10T21:08:47Z,done,,done,done,done,,,,,,,,,5876
2019-01-21 16:46:14.577,367315,8741,252,Run2023C,6079,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-11T03:02:47Z,done,,done,done,done,,,,,,,,,5870
2019-01-21 16:46:14.577,367334,8746,88.4,Run2023C,6070,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-11T11:36:45Z,done,,done,done,done,,,,,,,,,5861
2019-01-21 16:46:14.577,367336,8746,64.4,Run2023C,6069,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-11T12:46:32Z,done,,done,done,done,,,,,,,,,5860
2019-01-21 16:46:14.577,367337,8746,294,Run2023C,6062,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-11T19:46:06Z,done,,done,done,done,,,,,,,,,5853
2019-01-21 16:46:14.577,367475,8771,227,Run2023C,5996,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-14T14:17:48Z,done,,done,done,done,,,,,,,,,5787
2019-01-21 16:46:14.577,367477,8771,398,Run2023C,5987,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-14T22:53:27Z,done,,done,done,done,,,,,,,,,5778
2019-01-21 16:46:14.577,367515,8773,237,Run2023C,5976,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-15T09:40:45Z,done,,done,done,done,,,,,,,,,5767
2019-01-21 16:46:14.577,367516,8773,413,Run2023C,5968,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-15T17:53:22Z,done,,done,done,done,,,,,,,,,5759
2019-01-21 16:46:14.577,367553,8775,262,Run2023C,5959,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-16T02:38:00Z,done,,done,done,done,,,,,,,,,5750
2019-01-21 16:46:14.577,367554,8775,124,Run2023C,5958,processing,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-16T04:49:27Z,new,,failed,new,new,,,,,,,,,5955
2019-01-21 16:46:14.577,367661,8784,110,Run2023C,5967,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-18T00:27:46Z,done,,done,done,done,,,,,,,,,5911
2019-01-21 16:46:14.577,367662,8784,7.49,Run2023C,5967,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-18T00:37:13Z,done,,done,done,done,,,,,,,,,5911
2019-01-21 16:46:14.577,367691,8786,45.2,Run2023C,5954,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-18T13:50:28Z,done,,done,done,done,,,,,,,,,5898
2019-01-21 16:46:14.577,367696,8786,619,Run2023C,5886,processing,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-19T02:57:44Z,new,,processing,new,new,,,,,,,,,5885
2019-01-21 16:46:14.577,367699,8786,29.7,Run2023C,5939,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-19T04:17:28Z,done,,done,done,done,,,,,,,,,5883
2019-01-21 16:46:14.577,367730,8794,193,Run2023C,5923,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-19T21:11:49Z,done,,done,done,done,,,,,,,,,5867
2019-01-21 16:46:14.577,367742,8796,155,Run2023C,5914,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-20T05:59:29Z,done,,done,done,done,,,,,,,,,5858
2019-01-21 16:46:14.577,367758,8804,277,Run2023C,5887,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-21T08:28:15Z,done,,done,done,done,,,,,,,,,5831
2019-01-21 16:46:14.577,367770,8807,45.6,Run2023C,5826,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-21T15:38:30Z,done,,done,done,done,,,,,,,,,5617
2019-01-21 16:46:14.577,367771,8807,39.9,Run2023C,5826,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-21T16:15:29Z,done,,done,done,done,,,,,,,,,5617
2019-01-21 16:46:14.577,367772,8807,2.49,Run2023C,5826,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-21T16:22:42Z,done,,done,done,done,,,,,,,,,5617
2019-01-21 16:46:14.577,367790,8811,49.5,Run2023C,5814,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-22T04:02:03Z,done,,done,done,done,,,,,,,,,5605
2019-01-21 16:46:14.577,367831,8816,184,Run2023C,5797,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-22T20:56:29Z,done,,done,done,done,,,,,,,,,5588
2019-01-21 16:46:14.577,367836,8817,221,Run2023C,5790,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-23T03:36:15Z,done,,done,done,done,,,,,,,,,5581
2019-01-21 16:46:14.577,367838,8817,319,Run2023C,5785,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-23T08:48:29Z,done,,done,done,done,,,,,,,,,5576
2019-01-21 16:46:14.577,367840,8817,175,Run2023C,5781,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-23T12:52:28Z,done,,done,done,done,,,,,,,,,5572
2019-01-21 16:46:14.577,367881,8821,49.9,Run2023C,5769,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-24T00:32:14Z,done,,done,done,done,,,,,,,,,5560
2019-01-21 16:46:14.577,367883,8821,464,Run2023C,5762,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-24T07:28:02Z,done,,done,done,done,,,,,,,,,5554
2019-01-21 16:46:14.577,367884,8821,315,Run2023C,5756,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-24T14:08:27Z,done,,done,done,done,,,,,,,,,5547
2019-01-21 16:46:14.577,367902,8822,88.4,Run2023C,5751,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-24T19:02:41Z,done,,done,done,done,,,,,,,,,5542
2019-01-21 16:46:14.577,367904,8822,44.3,Run2023C,5750,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-24T19:47:47Z,done,,done,done,done,,,,,,,,,5541
2019-01-21 16:46:14.577,367905,8822,21.2,Run2023C,5750,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-24T20:09:41Z,done,,done,done,done,,,,,,,,,5541
2019-01-21 16:46:14.577,367906,8822,150,Run2023C,5747,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-24T22:28:25Z,done,,done,done,done,,,,,,,,,5538
2019-01-21 16:46:14.577,367907,8822,50.7,Run2023C,5747,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-24T23:18:00Z,done,,done,done,done,,,,,,,,,5538
2019-01-21 16:46:14.577,367908,8822,142,Run2023C,5744,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-25T01:39:23Z,done,,done,done,done,,,,,,,,,5535
2019-01-21 16:46:14.577,367910,8822,190,Run2023C,5740,done,133X_dataRun3_Candidate_2023_12_22_12_12_40,2023-05-25T05:52:43Z,done,,done,done,done,,,,,,,,,5531
